,TSLA,AAPL,NVDA
2010-06-29,1.5926669836044312,7.726042747497559,0.24029287695884705
2010-06-30,1.5886670351028442,7.586103916168213,0.23410212993621826
2010-07-01,1.4639999866485596,7.494112014770508,0.2380000352859497
2010-07-02,1.2799999713897705,7.4476704597473145,0.2350192815065384
2010-07-06,1.0740000009536743,7.49863862991333,0.23249708116054535
2010-07-07,1.053333044052124,7.8014445304870605,0.24373212456703186
2010-07-08,1.1640000343322754,7.783951282501221,0.2363949865102768
2010-07-09,1.159999966621399,7.830094814300537,0.23731215298175812
2010-07-12,1.136667013168335,7.759823322296143,0.24166861176490784
2010-07-13,1.2093329429626465,7.594245910644531,0.25038155913352966
2010-07-14,1.3226670026779175,7.622292995452881,0.25290367007255554
2010-07-15,1.3259999752044678,7.583690166473389,0.24579577147960663
2010-07-16,1.3760000467300415,7.536940097808838,0.23043353855609894
2010-07-19,1.4606670141220093,7.406649589538574,0.23983435332775116
2010-07-20,1.3533329963684082,7.596960544586182,0.24579577147960663
2010-07-21,1.3480000495910645,7.667835712432861,0.23777078092098236
2010-07-22,1.399999976158142,7.81199836730957,0.24166861176490784
2010-07-23,1.4193329811096191,7.839747428894043,0.23754140734672546
2010-07-26,1.3966670036315918,7.819844722747803,0.241897851228714
2010-07-27,1.3700000047683716,7.964609146118164,0.23983435332775116
2010-07-28,1.3813329935073853,7.87050724029541,0.232267826795578
2010-07-29,1.3566670417785645,7.784554958343506,0.20933909714221954
2010-07-30,1.329332947731018,7.7586140632629395,0.21071483194828033
2010-08-02,1.3946670293807983,7.897350788116455,0.2104855328798294
2010-08-03,1.463333010673523,7.899764537811279,0.2049826830625534
2010-08-04,1.4173330068588257,7.931432723999023,0.21369558572769165
2010-08-05,1.363332986831665,7.892827987670898,0.21644701063632965
2010-08-06,1.305999994277954,7.844271659851074,0.21896915137767792
2010-08-09,1.3066669702529907,7.8943352699279785,0.2210327833890915
2010-08-10,1.2686669826507568,7.823764801025391,0.2118612825870514
2010-08-11,1.1933330297470093,7.545688152313232,0.20360691845417023
2010-08-12,1.1733330488204956,7.593944072723389,0.20544126629829407
